,Latitude,Longitude,,sum paid,jan_r,feb_r,mar_r,apr_r,may_r,jun_r,jul_r,aug_r,sep_r,oct_r,nov_r,dec_r,avg_r,jan_t,feb_t,mar_t,apr_t,may_t,jun_t,jul_t,aug_t,sep_t,oct_t,nov_t,dec_t
52,18.2,-66.4,"(18.2, -66.4)",0,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
53,18.2,-66.3,"(18.2, -66.3)",0,16.91278195,13.39386602,17.03213752,25.51353638,25.16640747,9.685337727,14.46923077,20.94144838,31.40982287,27.50866142,27.2287793,21.20941176,20.87261846,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
54,18.2,-66.2,"(18.2, -66.2)",0,16.91278195,13.39386602,17.03213752,25.51353638,25.16640747,9.685337727,14.46923077,20.94144838,31.40982287,27.50866142,27.2287793,21.20941176,20.87261846,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
55,18.2,-66.1,"(18.2, -66.1)",0,11.69122807,9.297021277,10.92408985,17.24621849,22.32800673,15.86093888,16.12529551,18.20677966,24.05180921,25.78212291,27.87264957,17.05906481,18.03710208,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
56,18.2,-66,"(18.2, -66)",0,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
57,18.2,-65.9,"(18.2, -65.9)",0,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
58,18.2,-65.8,"(18.2, -65.8)",0,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
59,18.2,-65.7,"(18.2, -65.7)",0,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
60,18.2,-65.6,"(18.2, -65.6)",0,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
61,18.2,-65.4,"(18.2, -65.4)",0,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
