Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
700-011,"Saipan, Northern Mariana Islands",1978,2014,37,0.8963,2.59,1.99,0.85,0.65,15.2333,145.75
710-001,"Chuuk, Federated States of Micronesia",1947,1995,49,0.8566,0.31,1.73,0.1,0.57,7.4467,151.8467
710-011,"Yap B, Federated States of Micronesia",1969,2005,37,0.8986,-0.41,3.5,-0.14,1.15,9.5167,138.1333
710-026,"Kapingamarangi, Federated States Of Micronesia",1978,2014,37,0.8253,3.4,2.26,1.12,0.74,1.1,154.7833
710-031,"Pohnpei B, Federated States of Micronesia",1974,2014,41,0.9691,2.02,2.36,0.66,0.77,6.9833,158.2333
711-021,"Malakal B, Palau",1969,2014,46,0.9689,2.75,2.58,0.9,0.85,7.3333,134.4667
720-017,"Majuro B/C, Marshall Islands",1968,2011,44,0.9706,3.6,1.22,1.18,0.4,7.106,171.3728
732-012,"Funafuti & Funafuti B, Tuvalu",1977,2011,35,0.8486,3.74,2.95,1.23,0.97,-8.5025,179.1952
734-004,"Honiara-B & Honiara II, Solomon Islands",1974,2011,38,0.8486,2.8,4.39,0.92,1.44,-9.4289,159.9554
742-012,"Suva A, Fiji",1972,2016,45,0.9396,6.34,1.21,2.08,0.4,-18.1357,178.4228
750-012,"Kanton Island & Kanton Island B, Kiribati",1949,2007,59,0.8356,0.58,0.87,0.19,0.29,-2.8167,-171.7167
760-016,"French Frigate Shoals, USA",1974,2006,33,0.9765,1.85,2.05,0.61,0.67,23.8667,-166.2833
770-021,"Christmas Island I & II, Kiribati",1956,2003,32,0.9156,0.21,3.01,0.07,0.99,1.9833,-157.4667
775-001,"Penrhyn, Cook Islands",1977,2014,38,0.9601,1.91,1.64,0.63,0.54,-9.0167,-158.0667
780-011,"Papeete-B, Fare Ute Point, French Polynesia",1969,2014,46,0.9817,3.29,0.74,1.08,0.24,-17.5333,-149.5667
785-006,"Rarotonga & Rarotonga B, Cook Islands",1977,2011,35,0.8486,1.51,1.31,0.49,0.43,-21.2048,-159.7848
805-011,"Nuku Hiva, French Polynesia",1982,2012,31,0.6522,1.6,2.55,0.52,0.84,-8.9333,-140.0833
808-001,"Rikitea, French Polynesia",1969,2014,46,0.9483,1.75,0.59,0.57,0.19,-23.1333,-134.95
810-003,"Easter Island E, Chile",1970,2016,47,0.8304,0.06,0.95,0.02,0.31,-27.15,-109.45
822-001,"Prince Rupert, Canada",1909,2016,108,0.8239,1.17,0.22,0.38,0.07,54.3167,-130.3333
822-008,"Queen Charlotte City, Canada",1957,2016,60,0.8824,0.15,0.5,0.05,0.16,53.25,-132.0667
822-016,"Bella Bella, Canada",1961,2016,56,0.9714,0.03,0.57,0.01,0.19,52.1667,-128.1333
822-020,"Port Hardy, Canada",1964,2016,53,0.9825,-0.51,0.6,-0.17,0.2,50.7167,-127.4833
822-027,"Campbell River, Canada",1965,2016,52,0.8837,-1.64,0.72,-0.54,0.24,50.0167,-125.2333
822-051,"Point Atkinson, Canada",1914,2016,103,0.7847,0.96,0.23,0.31,0.08,49.3333,-123.25
822-071,"Vancouver, Canada",1909,2016,108,0.8296,0.48,0.22,0.16,0.07,49.2833,-123.1167
822-098,"Patricia Bay, Canada",1976,2016,41,0.9938,0.74,1.0,0.24,0.33,48.65,-123.45
822-101,"Victoria, Canada",1909,2016,108,0.9907,0.74,0.19,0.24,0.06,48.4167,-123.3667
822-108,"Bamfield, Canada",1969,2016,48,0.9806,-0.05,0.81,-0.02,0.27,48.85,-125.1333
822-116,"Tofino, Canada",1909,2016,108,0.776,-1.26,0.27,-0.41,0.09,49.15,-125.9167
830-001,"Ensenada, Mexico",1956,1990,35,0.7565,2.34,1.38,0.77,0.45,31.85,-116.633
830-020,"Cabo San Lucas, Mexico",1974,2003,30,0.7722,1.68,3.62,0.55,1.19,22.8833,-109.9
830-021,"La Paz, Mexico",1952,1984,33,0.7933,1.62,1.48,0.53,0.48,24.1667,-110.35
830-031,"Guaymas, Mexico",1952,1988,37,0.8536,4.09,1.35,1.34,0.44,27.9167,-110.9
830-071,"Manzanillo, Mexico",1954,1982,29,0.8879,3.18,2.17,1.04,0.71,19.05,-104.3333
830-081,"Acapulco, Mexico",1967,2012,46,0.6965,7.98,1.81,2.62,0.59,16.8333,-99.9167
830-091,"Salina Cruz, Mexico",1952,1989,38,0.8486,1.17,1.44,0.38,0.47,16.1667,-95.2
833-011,"Acajutla, El Salvador",1962,2001,40,0.8522,2.89,1.22,0.95,0.4,13.5667,-89.8333
836-011,"Quepos, Costa Rica",1957,1994,38,0.9715,0.63,1.87,0.21,0.61,9.4,-84.1667
840-011,"Balboa, Panama",1908,2016,109,0.9946,1.45,0.22,0.47,0.07,8.9667,-79.5667
842-011,"Buenaventura, Colombia",1941,1969,29,0.908,0.96,1.22,0.32,0.4,3.9,-77.1
845-012,"La Libertad II, Ecuador",1948,2003,56,0.9449,-1.22,0.97,-0.4,0.32,-2.2,-80.9167
845-031,"Santa Cruz, Ecuador",1978,2007,30,0.8486,0.89,3.83,0.29,1.26,-0.75,-90.3167
845-034,"Baltra, Ecuador",1985,2014,30,0.8876,1.62,3.15,0.53,1.03,-0.4333,-90.2833
848-032,"Callao, Peru",1975,2006,32,0.8163,-2.44,1.91,-0.8,0.63,-12.05,-77.15
850-001,"Arica, Chile",1950,1991,42,0.8659,-1.42,1.38,-0.47,0.45,-18.4667,-70.3333
850-007,"Iquique, Chile",1984,2016,33,0.9508,-0.77,1.43,-0.25,0.47,-20.2044,-70.1478
850-012,"Antofagasta, Chile",1945,2016,72,0.9296,-0.87,0.38,-0.29,0.12,-23.65,-70.4
850-021,"Caldera, Chile",1950,1991,42,0.8486,3.01,0.74,0.99,0.24,-27.0667,-70.8333
850-039,"Juan Fernandez, Chile",1985,2016,32,0.856,-0.06,1.96,-0.02,0.64,-33.6358,-78.8297
850-048,"Corral, Chile",1985,2016,32,0.8783,-2.14,1.9,-0.7,0.62,-39.8783,-73.4228
860-002,"Ushuaia I & II, Argentina",1957,2009,41,0.7806,0.86,0.83,0.28,0.27,-54.8167,-68.2167
860-011,"Puerto Deseado, Argentina",1970,2016,47,0.39,1.15,1.0,0.38,0.33,-47.75,-65.9167
860-031,"Puerto Madryn, Argentina",1944,2000,57,0.7383,1.5,0.79,0.49,0.26,-42.7667,-65.0333
860-081,"Quequen, Argentina",1918,1982,65,0.9846,0.85,0.31,0.28,0.1,-38.5833,-58.7
860-101,"Mar Del Plata  (Naval Base), Argentina",1957,2016,60,0.9621,1.23,0.42,0.4,0.14,-38.0333,-57.5167
860-151,"Buenos Aires, Argentina",1905,1987,83,1.0,1.57,0.3,0.51,0.1,-34.6,-58.3667
863-002,"Stanley I/II, Falkland Islands",1964,2008,45,0.8486,0.55,0.48,0.18,0.16,-51.6833,-57.8167
870-011,"Montevideo, Uruguay",1938,2016,79,0.7983,0.93,0.51,0.3,0.17,-34.9,-56.25
870-031,"La Paloma, Uruguay",1955,2016,62,0.7052,1.4,0.7,0.46,0.23,-34.65,-54.15
874-051,"Cananeia, Brazil",1954,2006,53,0.967,4.2,0.63,1.38,0.21,-25.0167,-47.9333
874-092,"Ilha Fiscal, Brazil",1963,2016,54,0.9505,2.35,1.05,0.77,0.34,-22.9,-43.1667
902-021,"Cartagena, Colombia",1949,1992,44,0.9545,5.31,0.37,1.74,0.12,10.4,-75.55
904-011,"Cristobal, Panama",1909,1980,72,0.9954,1.41,0.22,0.46,0.07,9.35,-79.9167
912-021,"Fort-de-France, Martinique",1976,2016,41,0.3597,2.39,0.8,0.78,0.26,14.6015,-61.0632
920-001,"Progreso, Mexico",1952,2013,62,0.5435,3.69,0.78,1.21,0.26,21.3,-89.6667
920-011,"Ciudad del Carmen, Mexico",1956,1988,33,0.8857,3.6,0.94,1.18,0.31,18.6333,-91.85
920-021,"Coatzacoalcos, Mexico",1952,1987,36,0.7332,2.86,1.06,0.94,0.35,18.15,-94.4167
920-051,"Tuxpan, Mexico",1958,1990,33,0.7332,2.64,1.45,0.87,0.48,21.0,-97.3333
930-031,"Gibara, Cuba",1974,2016,43,0.998,2.46,0.88,0.81,0.29,21.1167,-76.1333
930-051,"Guantanamo Bay, Cuba",1937,1971,35,0.9155,1.65,0.78,0.54,0.26,19.9067,-75.1467
930-065,"Casilda, Cuba",1979,2016,38,0.6622,1.72,1.05,0.56,0.34,21.7533,-79.9917
930-071,"Cabo San Antonio, Cuba",1971,2016,46,0.8495,4.12,1.06,1.35,0.35,21.9,-84.9
970-001,"Saint John, N.B., Canada",1896,2016,121,0.7642,2.15,0.19,0.71,0.06,45.2667,-66.0667
970-007,"Yarmouth, Canada",1965,2016,52,0.9121,3.69,0.46,1.21,0.15,43.8333,-66.1333
970-011,"Halifax, Canada",1895,2014,120,0.7949,3.19,0.13,1.05,0.04,44.6667,-63.5833
970-016,"North Sydney, Canada",1970,2016,47,0.9716,3.68,0.45,1.21,0.15,46.2167,-60.25
970-031,"Charlottetown, Canada",1911,2016,106,0.8155,3.22,0.15,1.06,0.05,46.2333,-63.1167
970-040,"Lower Escuminac, Canada",1973,2016,44,0.926,3.01,0.5,0.99,0.16,47.0833,-64.8833
970-054,"Riviere-Au-Renard, Canada",1968,2016,49,0.9198,0.89,0.5,0.29,0.16,49.0,-64.3833
970-061,"Pointe-Au-Pere, Canada",1900,1983,84,0.7927,-0.36,0.4,-0.12,0.13,48.5167,-68.4667
970-068,"St-Francois, Canada",1962,2016,55,0.959,0.18,0.67,0.06,0.22,47.0,-70.8167
970-071,"Quebec, Canada",1910,2012,103,0.7518,-0.16,0.44,-0.05,0.14,46.8333,-71.1667
